Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
10/1/00,74,57,0,0,0
10/2/00,68,51,0,0,0
10/3/00,58,46,0,0,0
10/4/00,56,37,0,0,0
10/5/00,49,35,0.01,0,0
10/6/00,44,30,0,0,0
10/7/00,41,33,T,0,0
10/8/00,47,29,0,0,0
10/9/00,58,29,0,0,0
10/10/00,64,35,0,0,0
10/11/00,69,34,0,0,0
10/12/00,74,48,0.01,0,0
10/13/00,78,62,0,0,0
10/14/00,64,47,0,0,0
10/15/00,50,40,0,0,0
10/16/00,57,34,0.04,0,0
10/17/00,63,47,0.08,0,0
10/18/00,69,42,0,0,0
10/19/00,84,49,0,0,0
10/20/00,70,48,0,0,0
10/21/00,66,38,0,0,0
10/22/00,67,50,0.2,0,0
10/23/00,63,58,0.14,0,0
10/24/00,67,59,0,0,0
10/25/00,67,62,0.22,0,0
10/26/00,68,55,0.29,0,0
10/27/00,55,42,T,0,0
10/28/00,51,40,0,0,0
10/29/00,58,43,T,0,0
10/30/00,58,46,0.1,0,0
10/31/00,71,46,0,0,0
11/1/00,66,57,0.58,0,0
11/2/00,58,41,0,0,0
11/3/00,49,37,0.03,0,0
11/4/00,55,32,0,0,0
11/5/00,59,41,0.14,0,0
11/6/00,48,44,1.54,0,0
11/7/00,50,30,0.14,1.2,0
11/8/00,30,27,T,T,1
11/9/00,32,28,0,0,1
11/10/00,33,31,T,0,1
11/11/00,38,31,0,0,1
11/12/00,38,32,0.55,T,0
11/13/00,34,30,0.1,1.3,1
11/14/00,33,20,0.01,0.2,T
11/15/00,33,19,0.08,1.7,0
11/16/00,29,25,0.07,2.3,4
11/17/00,25,15,T,0.1,3
11/18/00,25,15,0.01,0.1,3
11/19/00,30,22,0.09,1.6,2
11/20/00,22,10,0.01,0.1,4
11/21/00,20,1,0,0,4
11/22/00,22,11,0,0,2
11/23/00,29,16,0,0,1
11/24/00,36,14,0,0,1
11/25/00,37,22,0,0,T
11/26/00,31,17,0,0,T
11/27/00,37,22,T,T,T
11/28/00,35,20,0.03,0.2,T
11/29/00,34,31,T,T,T
11/30/00,34,28,T,1,T
12/1/00,32,19,0.02,0.2,1
12/2/00,28,12,0,0,1
12/3/00,32,12,0,0,1
12/4/00,35,3,0.01,T,1
12/5/00,9,-2,0,0,T
12/6/00,20,5,0.03,0.5,T
12/7/00,22,12,0.06,0.2,1
12/8/00,12,7,T,T,1
12/9/00,26,9,0.03,0.2,1
12/10/00,26,-6,0.04,1.7,3
12/11/00,1,-6,0.02,1,2
12/12/00,-1,-11,0,0,3
12/13/00,11,-4,0.1,1.8,3
12/14/00,10,-5,T,T,4
12/15/00,20,6,0.03,0.1,4
12/16/00,20,-1,0.28,7,9
12/17/00,2,-7,T,0.1,8
12/18/00,12,2,0.27,6.5,12
12/19/00,9,-2,T,0,14
12/20/00,15,1,0.02,0.2,14
12/21/00,1,-7,T,0,13
12/22/00,0,-13,0,0,13
12/23/00,8,-6,0.03,1.3,11
12/24/00,1,-13,0,0,11
12/25/00,12,-17,0.01,0.2,10
12/26/00,13,2,T,T,9
12/27/00,12,5,0,0,9
12/28/00,12,5,0.25,7.5,16
12/29/00,18,10,T,0.3,15
12/30/00,13,6,T,0.3,13
12/31/00,15,9,0.03,1.1,13
1/1/01,17,-5,T,T,14
1/2/01,26,-5,0.01,0.2,12
1/3/01,28,17,T,T,11
1/4/01,39,19,T,0,10
1/5/01,34,15,0,0,10
1/6/01,38,18,T,T,10
1/7/01,28,16,T,T,9
1/8/01,23,10,T,0.3,9
1/9/01,31,7,0,0,9
1/10/01,37,27,0,0,9
1/11/01,35,25,0.01,0,8
1/12/01,33,27,0,0,7
1/13/01,34,25,T,0,7
1/14/01,35,32,0.34,2.8,9
1/15/01,33,22,0.02,0.3,9
1/16/01,22,14,T,T,10
1/17/01,20,5,T,T,10
1/18/01,31,14,T,0.2,10
1/19/01,14,-3,0,0,10
1/20/01,18,-7,0,0,9
1/21/01,18,2,T,0,9
1/22/01,31,4,0,0,9
1/23/01,30,13,0,0,9
1/24/01,19,3,T,0,9
1/25/01,23,-1,0,0,9
1/26/01,26,12,0.11,2.3,9
1/27/01,26,-1,0,0,11
1/28/01,20,9,T,0,10
1/29/01,34,9,0.52,1,9
1/30/01,34,32,0.2,2,11
1/31/01,32,18,T,0.3,11
2/1/01,19,-8,T,0,11
2/2/01,3,-13,0.02,0.5,11
2/3/01,24,3,0.01,0.3,11
2/4/01,24,18,0.01,0.3,11
2/5/01,29,14,T,0,11
2/6/01,29,11,T,T,10
2/7/01,24,10,0.27,5,10
2/8/01,27,23,0.12,1.3,15
2/9/01,24,-1,T,T,16
2/10/01,7,-9,0,0,15
2/11/01,19,-2,0,0,15
2/12/01,27,10,0.01,0.2,15
2/13/01,28,8,0.02,T,15
2/14/01,17,-1,0,0,15
2/15/01,16,-5,T,0,15
2/16/01,15,-2,0,0,15
2/17/01,8,-10,0,0,15
2/18/01,27,-6,T,T,15
2/19/01,29,11,0,0,14
2/20/01,15,-1,0,0,14
2/21/01,10,-10,T,T,14
2/22/01,22,9,T,0.3,14
2/23/01,20,0,0.05,0.8,14
2/24/01,35,20,0.56,3,18
2/25/01,33,11,0.26,4.8,23
2/26/01,18,4,T,T,23
2/27/01,13,-3,0,0,20
2/28/01,24,-5,0,0,19
3/1/01,31,13,0,0,19
3/2/01,41,16,0,0,19
3/3/01,42,14,0,0,18
3/4/01,27,14,0,0,17
3/5/01,26,14,0,0,17
3/6/01,34,10,0,0,17
3/7/01,33,16,T,T,16
3/8/01,31,20,T,T,16
3/9/01,29,11,0,0,15
3/10/01,33,20,T,T,15
3/11/01,31,11,T,T,15
3/12/01,30,25,0.54,6.3,18
3/13/01,36,20,T,0.2,22
3/14/01,48,27,T,0,21
3/15/01,41,28,0,0,17
3/16/01,35,27,0,0,17
3/17/01,41,20,0,0,16
